geo_id,year,deped_id,total_teacher_male,total_teacher_female,total_teachers,total_student_male,total_student_female,total_student_enrollment
HND-002775,2009,40200016,,,,18,12,30
HND-002775,2010,40200016,0,1,1,308,269,577
HND-002775,2011,40200016,,,,21,12,33
HND-002776,2009,40200017,,,,21,37,58
HND-002776,2010,40200017,0,1,1,17,22,39
HND-002776,2011,40200017,,,,35,18,53
HND-002777,2009,40200018,,,,72,76,148
HND-002777,2010,40200018,1,3,4,46,78,124
HND-002777,2011,40200018,,,,66,76,142
HND-002778,2009,40200019,,,,14,14,28
HND-002778,2010,40200019,0,1,1,108,85,193
HND-002778,2011,40200019,,,,12,15,27
HND-002779,2009,40200021,,,,30,24,54
HND-002779,2010,40200021,2,0,2,15,22,37
HND-002779,2011,40200021,,,,24,26,50
HND-002780,2009,40200022,,,,27,14,41
HND-002780,2010,40200022,0,1,1,36,42,78
HND-002780,2011,40200022,,,,23,16,39
HND-002781,2009,40200025,,,,36,36,72
HND-002781,2010,40200025,0,2,2,38,40,78
HND-002781,2011,40200025,,,,33,39,72
HND-002782,2009,40200026,,,,11,8,19
HND-002782,2010,40200026,1,0,1,33,39,72
HND-002782,2011,40200026,,,,8,13,21
HND-002783,2009,40200027,,,,23,28,51
HND-002783,2010,40200027,0,2,2,127,126,253
HND-002783,2011,40200027,,,,21,23,44
HND-002784,2009,40200028,,,,13,17,30
HND-002784,2010,40200028,1,0,1,9,7,16
HND-002784,2011,40200028,,,,8,13,21
HND-002785,2009,40200029,,,,18,21,39
HND-002785,2010,40200029,0,1,1,31,36,67
HND-002785,2011,40200029,,,,18,26,44
HND-002786,2009,40200030,,,,8,18,26
HND-002786,2010,40200030,1,0,1,20,22,42
HND-002786,2011,40200030,,,,8,18,26
HND-002787,2009,40200031,,,,21,29,50
HND-002787,2011,40200031,,,,24,26,50
HND-002788,2009,40200032,,,,20,15,35
HND-002788,2011,40200032,,,,17,16,33
HND-002789,2009,40200033,,,,16,9,25
HND-002789,2011,40200033,,,,21,10,31
HND-002790,2009,40200034,,,,28,27,55
HND-002790,2010,40200034,2,0,2,49,52,101
HND-002790,2011,40200034,,,,22,27,49
HND-002791,2009,40200035,,,,22,23,45
HND-002791,2010,40200035,1,0,1,360,385,745
HND-002791,2011,40200035,,,,21,16,37
HND-002792,2009,40200036,,,,32,15,47
HND-002792,2010,40200036,2,0,2,15,13,28
HND-002792,2011,40200036,,,,27,17,44
HND-002793,2009,40200037,,,,38,38,76
HND-002793,2010,40200037,1,0,1,23,25,48
HND-002793,2011,40200037,,,,26,38,64
HND-002794,2009,40200039,,,,8,18,26
HND-002794,2011,40200039,,,,13,16,29
HND-002795,2009,40200040,,,,16,6,22
HND-002795,2011,40200040,,,,15,7,22
HND-002796,2009,40200041,,,,11,13,24
HND-002796,2011,40200041,,,,10,14,24
HND-002797,2009,40200042,,,,24,20,44
HND-002797,2011,40200042,,,,24,20,44
HND-002798,2009,40200044,,,,23,19,42
HND-002798,2010,40200044,0,2,2,267,244,511
HND-002798,2011,40200044,,,,21,18,39
HND-002799,2009,40200045,,,,25,29,54
HND-002799,2010,40200045,0,1,1,60,51,111
HND-002799,2011,40200045,,,,20,29,49
HND-002800,2009,40200048,,,,11,15,26
HND-002800,2010,40200048,1,0,1,274,265,539
HND-002800,2011,40200048,,,,10,11,21
HND-002801,2009,40200049,,,,10,17,27
HND-002801,2010,40200049,0,2,2,409,368,777
HND-002801,2011,40200049,,,,11,11,22
HND-002802,2009,40200050,,,,25,21,46
